Time:2016-11-13 15:09:56:417-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:12:46:955-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:14:08:459-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:14:51:668-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:20:39:856-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:21:28:430-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:31:39:288-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:32:18:542-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:33:06:327-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2016-11-13 15:35:36:234-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


