Time:2017-01-26 23:09:48:947-Trace>>Db connection not found provider type, OraAspNetConString connectionString:



Time:2017-01-26 23:43:23:709-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:43:28:849-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:2 start...


Time:2017-01-26 23:43:32:456-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:3 start...


Time:2017-01-26 23:43:33:552-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:4 start...


Time:2017-01-26 23:45:56:032-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:46:33:424-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-26 23:46:38:569-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:46:44:251-Trace>>OnEntitySyncQueue execute count:1, success:0/total 4, fail:2 start...


Time:2017-01-26 23:46:44:367-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:3 start...


Time:2017-01-26 23:46:47:862-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:4 start...


Time:2017-01-26 23:46:48:960-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:5 start...


Time:2017-01-26 23:50:23:976-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:50:48:256-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-26 23:50:52:084-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-26 23:50:56:128-Trace>>OnEntitySyncQueue execute count:1, success:0/total 5, fail:2 start...


Time:2017-01-26 23:50:59:736-Trace>>OnEntitySyncQueue execute count:1, success:0/total 18, fail:3 start...


Time:2017-01-26 23:51:00:834-Trace>>OnEntitySyncQueue execute count:1, success:0/total 19, fail:4 start...


Time:2017-01-26 23:52:11:579-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-26 23:52:32:719-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


