Time:2017-01-29 22:01:02:230-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-29 22:01:14:707-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-29 22:01:17:772-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-29 22:01:21:813-Trace>>OnEntitySyncQueue execute count:1, success:0/total 11, fail:2 start...


Time:2017-01-29 22:01:24:424-Trace>>OnEntitySyncQueue execute count:1, success:0/total 50, fail:3 start...


Time:2017-01-29 22:01:24:531-Trace>>OnEntitySyncQueue execute count:1, success:0/total 63, fail:4 start...


Time:2017-01-29 22:01:25:409-Trace>>OnEntitySyncQueue execute count:1, success:0/total 64, fail:5 start...


Time:2017-01-29 22:01:44:109-Trace>>OnEntitySyncQueue execute count:1, success:0/total 65, fail:6 start...


Time:2017-01-29 22:03:06:600-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-29 22:03:23:426-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-29 22:03:26:158-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-29 22:03:30:203-Trace>>OnEntitySyncQueue execute count:1, success:0/total 11, fail:2 start...


Time:2017-01-29 22:03:32:829-Trace>>OnEntitySyncQueue execute count:1, success:0/total 50, fail:3 start...


Time:2017-01-29 22:03:32:937-Trace>>OnEntitySyncQueue execute count:1, success:0/total 63, fail:4 start...


Time:2017-01-29 22:03:33:927-Trace>>OnEntitySyncQueue execute count:1, success:0/total 64, fail:5 start...


Time:2017-01-29 22:03:56:234-Trace>>OnEntitySyncQueue execute count:1, success:0/total 70, fail:6 start...


Time:2017-01-29 22:05:31:269-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-29 22:05:47:452-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-01-29 22:05:49:860-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-01-29 22:05:52:707-Trace>>OnEntitySyncQueue execute count:1, success:0/total 9, fail:2 start...


Time:2017-01-29 22:05:52:814-Trace>>OnEntitySyncQueue execute count:1, success:0/total 11, fail:3 start...


Time:2017-01-29 22:05:55:327-Trace>>OnEntitySyncQueue execute count:1, success:0/total 37, fail:4 start...


Time:2017-01-29 22:05:55:441-Trace>>OnEntitySyncQueue execute count:1, success:0/total 50, fail:5 start...


Time:2017-01-29 22:05:55:551-Trace>>OnEntitySyncQueue execute count:1, success:0/total 63, fail:6 start...


Time:2017-01-29 22:05:56:425-Trace>>OnEntitySyncQueue execute count:1, success:0/total 64, fail:7 start...


Time:2017-01-29 22:06:07:908-Trace>>OnEntitySyncQueue execute count:1, success:0/total 70, fail:8 start...


Time:2017-01-29 22:10:33:436-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-01-29 22:10:49:369-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


