Time:2017-03-06 19:24:15:768-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-03-06 19:25:10:405-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-03-06 19:25:12:488-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-03-06 19:25:14:999-Trace>>OnEntitySyncQueue execute count:1, success:0/total 11, fail:2 start...


Time:2017-03-06 19:25:17:186-Trace>>OnEntitySyncQueue execute count:1, success:0/total 50, fail:3 start...


Time:2017-03-06 19:25:17:302-Trace>>OnEntitySyncQueue execute count:1, success:0/total 63, fail:4 start...


Time:2017-03-06 19:25:18:174-Trace>>OnEntitySyncQueue execute count:1, success:0/total 64, fail:5 start...


Time:2017-03-06 19:25:28:785-Trace>>OnEntitySyncQueue execute count:1, success:0/total 79, fail:6 start...


Time:2017-03-06 19:25:33:593-Trace>>OnEntitySyncQueue execute count:1, success:0/total 88, fail:7 start...


Time:2017-03-06 19:31:53:889-Trace>>OnEntitySyncQueue execute count:1, success:0/total 89, fail:8 start...


Time:2017-03-06 19:31:56:077-Trace>>OnEntitySyncQueue execute count:1, success:0/total 90, fail:9 start...


Time:2017-03-06 19:31:58:161-Trace>>OnEntitySyncQueue execute count:1, success:0/total 91, fail:10 start...


Time:2017-03-06 19:31:58:270-Trace>>OnEntitySyncQueue execute count:1, success:0/total 99, fail:11 start...


Time:2017-03-06 19:32:00:454-Trace>>OnEntitySyncQueue execute count:1, success:0/total 151, fail:12 start...


Time:2017-03-06 19:32:01:438-Trace>>OnEntitySyncQueue execute count:1, success:0/total 152, fail:13 start...


Time:2017-03-06 19:32:05:817-Trace>>OnEntitySyncQueue execute count:1, success:0/total 166, fail:14 start...


Time:2017-03-06 19:32:05:926-Trace>>OnEntitySyncQueue execute count:1, success:0/total 167, fail:15 start...


Time:2017-03-06 19:32:08:874-Trace>>OnEntitySyncQueue execute count:1, success:0/total 176, fail:16 start...


Time:2017-03-06 19:34:54:250-Trace>>Db connection not found provider type, OraAspNetConString connectionString:


Time:2017-03-06 19:35:58:676-Trace>>OnEntitySyncQueue execute count:1, success:0/total 1, fail:0 start...


Time:2017-03-06 19:36:01:515-Trace>>OnEntitySyncQueue execute count:1, success:0/total 2, fail:1 start...


Time:2017-03-06 19:36:04:143-Trace>>OnEntitySyncQueue execute count:1, success:0/total 11, fail:2 start...


Time:2017-03-06 19:36:06:333-Trace>>OnEntitySyncQueue execute count:1, success:0/total 53, fail:3 start...


Time:2017-03-06 19:36:06:440-Trace>>OnEntitySyncQueue execute count:1, success:0/total 63, fail:4 start...


Time:2017-03-06 19:36:07:312-Trace>>OnEntitySyncQueue execute count:1, success:0/total 64, fail:5 start...


Time:2017-03-06 19:36:11:255-Trace>>OnEntitySyncQueue execute count:1, success:0/total 73, fail:6 start...


Time:2017-03-06 19:36:15:718-Trace>>OnEntitySyncQueue execute count:1, success:0/total 79, fail:7 start...


Time:2017-03-06 19:36:18:894-Trace>>OnEntitySyncQueue execute count:1, success:0/total 85, fail:8 start...


