Time:2017-03-24 11:00:08:577-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:00:08:797-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:01:08:579-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:01:08:812-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:02:08:591-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:02:08:813-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:03:08:591-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:03:08:814-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:04:08:592-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:04:08:825-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:05:08:592-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:05:08:826-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:06:08:593-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:06:08:841-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:07:08:607-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:07:08:842-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:08:08:609-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:08:08:857-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:09:08:622-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:09:08:858-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:10:08:625-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:10:08:861-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


Time:2017-03-24 11:11:08:626-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-24 11:11:08:873-Trace>>Socket connect status: TotalCount=10, CurrentCount=0, CloseCount=9, RejectedCount=1


