Time:2017-03-27 20:34:55:777-Redis write queue start init...


Time:2017-03-27 20:34:55:779-Sql wait write queue start init...


Time:2017-03-27 20:34:55:781-Sql write queue start init...


Time:2017-03-27 20:34:56:209-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:34:56:548-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:35:56:220-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:35:56:549-Trace>>Socket connect status: TotalCount=1, CurrentCount=1, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:36:56:222-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:36:56:563-Trace>>Socket connect status: TotalCount=4, CurrentCount=4, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:37:56:230-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:37:56:570-Trace>>Socket connect status: TotalCount=4, CurrentCount=4, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:38:56:235-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:38:56:581-Trace>>Socket connect status: TotalCount=4, CurrentCount=4, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:39:56:257-Trace>>Socket connect status: TotalCount=0, CurrentCount=0, CloseCount=0, RejectedCount=0


Time:2017-03-27 20:39:56:588-Trace>>Socket connect status: TotalCount=4, CurrentCount=4, CloseCount=0, RejectedCount=0


